,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,,-additional
Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
424,Kevin Spadanuda,ch SUI,MT,Ajaccio,25-283,1997,9,6,438,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matchs,a45a5d95
425,Stijn Spierings,nl NED,MT,Toulouse,26-228,1996,12,12,1080,12.0,2,0,2,0,0,2,0,0.17,0.00,0.17,0.17,0.17,1.0,1.0,0.4,1.4,0.09,0.03,0.12,0.09,0.12,Matchs,a08985b8
426,Calvin Stengs,nl NED,MTAT,Nice,23-312,1998,4,3,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.12,0.05,0.17,0.12,0.17,Matchs,8f7e6783
427,Kamaldeen Sulemana,gh GHA,ATMT,Rennes,20-253,2002,10,2,263,2.9,1,0,1,0,0,1,0,0.34,0.00,0.34,0.34,0.34,1.0,1.0,0.4,1.4,0.35,0.14,0.48,0.35,0.48,Matchs,a62f8bf1
428,Issiaga Sylla,gn GUI,DF,Toulouse,28-298,1994,10,9,779,8.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matchs,b99bec05
429,Nicolás Tagliafico,ar ARG,DF,Lyon,30-056,1992,12,12,1057,11.7,1,1,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,1.1,1.1,0.8,2.0,0.10,0.07,0.17,0.10,0.17,Matchs,f0661424
430,Waniss Taibi,fr FRA,MT,Angers,20-233,2002,4,1,109,1.2,0,1,0,0,0,1,0,0.00,0.83,0.83,0.00,0.83,0.3,0.3,0.1,0.4,0.26,0.05,0.31,0.26,0.31,Matchs,95192fe4
431,Flavien Tait,fr FRA,MT,Rennes,29-266,1993,12,11,952,10.6,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.2,1.2,1.1,2.2,0.11,0.10,0.21,0.11,0.21,Matchs,a0f9b535
432,Montassar Talbi,tn TUN,DF,Lorient,24-153,1998,12,12,1080,12.0,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.0,0.0,0.1,0.2,0.00,0.01,0.02,0.00,0.02,Matchs,a4a44eb0
433,Florian Tardieu,fr FRA,MT,Troyes,30-187,1992,11,10,877,9.7,3,0,0,3,3,2,0,0.31,0.00,0.31,0.00,0.00,2.8,0.5,0.9,1.4,0.29,0.09,0.38,0.05,0.14,Matchs,ed39121c
434,Nuno Tavares,pt POR,DF,Marseille,22-273,2000,11,9,876,9.7,3,0,3,0,0,3,0,0.31,0.00,0.31,0.31,0.31,1.9,1.9,0.8,2.7,0.20,0.09,0.28,0.20,0.28,Matchs,a65c844b
435,Enzo Tchato,cm CMR,DF,Montpellier,19-337,2002,11,7,675,7.5,1,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,0.3,0.3,1.0,1.3,0.04,0.13,0.17,0.04,0.17,Matchs,7f783431
436,Martin Terrier,fr FRA,ATMT,Rennes,25-236,1997,12,12,1016,11.3,7,2,7,0,0,0,0,0.62,0.18,0.80,0.62,0.80,4.4,4.4,1.7,6.2,0.39,0.15,0.55,0.39,0.55,Matchs,5148dcc5
437,Tetê,br BRA,ATMT,Lyon,22-253,2000,11,10,782,8.7,5,2,5,0,0,1,0,0.58,0.23,0.81,0.58,0.81,3.4,3.4,0.9,4.3,0.39,0.10,0.49,0.39,0.49,Matchs,7120a04d
438,Arthur Theate,be BEL,DF,Rennes,22-154,2000,12,12,1080,12.0,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.2,1.2,0.4,1.6,0.10,0.03,0.14,0.10,0.14,Matchs,df8d6029
439,Sada Thioub,sn SEN,MTAT,Angers,27-147,1995,12,4,397,4.4,0,1,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,0.2,0.2,1.1,1.3,0.05,0.25,0.30,0.05,0.30,Matchs,f4bc42b1
440,Adrien Thomasson,fr FRA,MT,Strasbourg,28-320,1993,10,6,602,6.7,0,2,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,1.3,1.3,1.4,2.7,0.19,0.21,0.40,0.19,0.40,Matchs,c76b7567
441,Khéphren Thuram-Ulie,fr FRA,MT,Nice,21-214,2001,12,10,814,9.0,0,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.3,0.3,1.8,2.0,0.03,0.19,0.22,0.03,0.22,Matchs,7d9397f8
442,Jean-Clair Todibo,fr FRA,DF,Nice,22-300,1999,10,10,801,8.9,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matchs,88f130ed
443,Karl Toko Ekambi,cm CMR,ATMT,Lyon,30-042,1992,12,10,880,9.8,4,1,4,0,0,1,0,0.41,0.10,0.51,0.41,0.51,3.0,3.0,2.2,5.2,0.31,0.22,0.53,0.31,0.53,Matchs,5ceba7fc
444,Corentin Tolisso,fr FRA,MT,Lyon,28-084,1994,10,7,538,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.9,2.0,0.03,0.31,0.34,0.03,0.34,Matchs,652d4c37
445,Birama Touré,ml MLI,MT,Auxerre,30-142,1992,12,12,1063,11.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.04,0.00,0.04,0.04,0.04,Matchs,a4b798a9
446,Souleymane Touré,fr FRA,DF,Marseille,19-212,2003,3,0,41,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,01fd01e8
447,Yoann Touzghar,tn TUN,AT,Ajaccio,35-332,1986,5,3,237,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matchs,4e47507a
448,Hamari Traoré,ml MLI,DF,Rennes,30-272,1992,11,10,913,10.1,0,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.6,0.9,0.03,0.06,0.09,0.03,0.09,Matchs,a4b1028a
449,Adrien Truffert,fr FRA,DF,Rennes,20-340,2001,12,11,932,10.4,0,4,0,0,0,1,0,0.00,0.39,0.39,0.00,0.39,0.3,0.3,0.6,0.8,0.03,0.05,0.08,0.03,0.08,Matchs,5d0e0a1f
450,Ike Ugbo,ca CAN,ATMT,Troyes,24-035,1998,10,4,311,3.5,1,1,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58,0.5,0.5,0.3,0.8,0.15,0.09,0.23,0.15,0.23,Matchs,8a53d24b
451,Chimuanya Ugochukwu,fr FRA,MT,Rennes,18-214,2004,5,2,279,3.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matchs,1df4a109
452,Cengiz Ünder,tr TUR,MT,Marseille,25-104,1997,11,4,406,4.5,0,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,1.4,1.4,1.1,2.5,0.32,0.24,0.56,0.32,0.56,Matchs,1880614f
453,Jere Uronen,fi FIN,DF,Brest,28-105,1994,5,2,221,2.5,0,1,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,0.0,0.0,0.3,0.3,0.01,0.12,0.13,0.01,0.13,Matchs,d75f3980
454,Yan Valery,tn TUN,DFAT,Angers,23-246,1999,7,7,532,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.5,0.04,0.04,0.09,0.04,0.09,Matchs,531a4aa8
455,Vanderson,br BRA,DFMT,Monaco,21-127,2001,11,8,727,8.1,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.06,0.07,0.12,0.06,0.12,Matchs,ee45fd85
456,Jordan Veretout,fr FRA,MT,Marseille,29-239,1993,12,7,765,8.5,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,0.8,1.2,0.05,0.09,0.14,0.05,0.14,Matchs,4a56052c
457,Marco Verratti,it ITA,MT,Paris S-G,29-355,1992,11,11,796,8.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,Matchs,1467af0d
458,Clément Vidal,fr FRA,DF,Ajaccio,22-130,2000,7,4,406,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.05,0.05,0.10,0.05,0.10,Matchs,b2791a55
459,Alan Virginius,fr FRA,MTAT,Lille,19-296,2003,4,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.08,0.00,0.08,0.08,0.08,Matchs,01becd60
460,Mattia Viti,it ITA,DF,Nice,20-275,2002,7,7,601,6.7,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matchs,75438a9a
461,Vitinha,pt POR,MT,Paris S-G,22-255,2000,11,8,713,7.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.5,0.17,0.02,0.19,0.17,0.19,Matchs,3b029691
462,Kevin Volland,de GER,AT,Monaco,30-088,1992,3,1,83,0.9,1,0,1,0,0,0,0,1.08,0.00,1.08,1.08,1.08,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matchs,64f69877
463,Timothy Weah,us USA,MT,Lille,22-246,2000,3,0,68,0.8,0,2,0,0,0,0,0,0.00,2.65,2.65,0.00,2.65,1.1,1.1,0.8,1.9,1.44,1.11,2.55,1.44,2.55,Matchs,8eec784d
464,Mateusz Wieteska,pl POL,DF,Clermont Foot,25-257,1997,12,12,1080,12.0,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.3,0.6,0.02,0.02,0.05,0.02,0.05,Matchs,3ecc8c5f
465,Christopher Wooh,cm CMR,DF,Rennes,21-038,2001,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.14,0.25,0.40,0.14,0.40,Matchs,b003239d
466,Christopher Wooh,cm CMR,MT,Lens,21-038,2001,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,b003239d
467,Xeka,pt POR,MT,Rennes,27-350,1994,3,3,254,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,f3600c02
468,Yusuf Yazıcı,tr TUR,MT,Lille,25-270,1997,4,3,200,2.2,1,1,1,0,0,0,0,0.45,0.45,0.90,0.45,0.90,0.2,0.2,0.6,0.7,0.07,0.26,0.34,0.07,0.34,Matchs,f5c8b425
469,Darlin Yongwa,cm CMR,ATDF,Lorient,22-034,2000,2,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.16,0.16,0.00,0.16,Matchs,061266cd
470,Leny Yoro,fr FRA,DF,Lille,16-347,2005,2,1,101,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,6763f716
471,Mohamed Youssouf,km COM,DF,Ajaccio,34-214,1988,8,6,576,6.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.07,0.08,0.00,0.08,Matchs,1a85bcdb
472,Warren Zaire-Emery,fr FRA,MT,Paris S-G,16-232,2006,3,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,6b9960cf
473,Oliver Zandén,se SWE,DFMT,Toulouse,21-073,2001,5,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.06,0.08,0.02,0.08,Matchs,72d4922b
474,Akim Zedadka,dz ALG,DFMT,Lille,27-149,1995,6,4,345,3.8,1,0,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,0.4,0.4,0.5,0.9,0.10,0.13,0.23,0.10,0.23,Matchs,0ff630d0
475,Mehdi Zeffane,dz ALG,MTDF,Clermont Foot,30-160,1992,1,0,20,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,c8c02ac7
476,Arber Zeneli,xk KVX,ATMT,Reims,27-243,1995,8,6,462,5.1,0,2,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,0.9,0.9,1.9,2.8,0.17,0.37,0.54,0.17,0.54,Matchs,095e4199
477,Edon Zhegrova,xk KVX,MT,Lille,23-209,1999,6,3,234,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.23,0.11,0.35,0.23,0.35,Matchs,34a88e3e
